当地时间 北京,T,Po,P,Pa,U
22.04.2022 14:00,21.2,755.2,758.2,-2.5,20
22.04.2022 11:00,18.5,757.7,760.7,-0.5,19
22.04.2022 08:00,15.6,758.2,761.2,1.6,26
22.04.2022 05:00,13.7,756.6,759.6,1.9,25
22.04.2022 02:00,15.2,754.7,757.7,2.5,32
21.04.2022 23:00,19.4,752.2,755.2,3.3,23
21.04.2022 20:00,23.1,748.9,751.9,3.6,19
21.04.2022 17:00,26.4,745.3,748.2,0.3,16
21.04.2022 14:00,23.6,745,747.9,-0.8,48
21.04.2022 11:00,20.2,745.8,748.7,0.5,61
21.04.2022 08:00,17.3,745.3,748.3,0.6,69
21.04.2022 05:00,17.2,744.7,747.7,-0.9,66
21.04.2022 02:00,19.1,745.6,748.6,-1.5,52
